'liao'jie 了解
'mu'di 目的
'ji'ou 奇偶
'zhong'yao 重要
'hang'ye 行业
'zhong'dian 重点
'yin'yue 音乐
'zhong'da 重大
'yin'hang 银行
'pai'hang 排行
'yan'zhong 严重
'zeng'zhang 增长
'zhong'shi 重视
'xie'tiao 协调
'zeng'yi 曾毅
'du'shi 都市
'zun'zhong 尊重
'cheng'zhang 成长
'da'sha 大厦
'zhu'zhong 注重
'bu'liao 不了
'du'hui 都会
'zhan'zhang 站长
'xi'zang 西藏
'kuai'ji 会计
'tiao'kong 调控
'zi'xi 仔细
'bu'zhang 部长
'ju'zhang 局长
'yuan'zhang 院长
'shou'du 首都
'sheng'zhang 生长
'zhong'liang 重量
'kong'tiao 空调
'xiao'zhang 校长
'long'zhong 隆重
'jue'se 角色
'tiao'jie 调节
'pian'yi 便宜
'ka'fei 咖啡
'hang'qing 行情
'shi'zhang 市长
'di'que 的确
'jia'zhang 家长
'bi'zhong 比重
'shi'shei 是谁
'tong'hang 同行
'hu'yu 呼吁
'shui'jiao 睡觉
'zhuo'li 着力
'mo'shou 没收
'zhu'jue 主角
'xian'wei 纤维
'xu'mu 畜牧
'zheng'zhong 郑重
'zhang'da 长大
'yi'hang 一行
'suo'zhang 所长
'yue'qi 乐器
'xian'zhang 县长
'zu'zhang 组长
'ti'zhong 体重
'qiang'jing 强劲
'hui'zhang 会长
'zhuo'yan 着眼
'tan'xing 弹性
'mu'ban 模板
'hang'feng 行风
'zhang'zai 长在
'ting'zhang 厅长
'mu'ju 模具
'fang'fu 仿佛
'zhuo'zhong 着重
'chuan'zhuo 穿着
'na'han 呐喊
'shei'neng 谁能
'chen'zhong 沉重
'fan'tan 反弹
'chu'zhang 处长
'huan'yuan 还原
'zhi'hang 支行
'fen'hang 分行
'hai'dei 还得
'shei'dou 谁都
'you'shei 有谁
'hang'lie 行列
'chao'bao 超薄
'yang'hang 央行
'bing'zhong 并重
'shen'zhong 慎重
'zhao'ji 着急
'shei'shi 谁是
'shei'ye 谁也
'yue'dui 乐队
'jia'zhong 加重
'fan'huan 返还
'tui'huan 退还
'jiu'dei 就得
'xie'lou 泄露
'dui'chen 对称
'chu'chai 出差
'shang'tiao 上调
'yue'tuan 乐团
'tan'chu 弹出
'cai'kuai 财会
'shuai'ling 率领
'shei'lai 谁来
'shei'de 谁的
'duan'di 端的
'hang'huo 行货
'xian'dei 先得
'biao'di 标的
'shei'you 谁有
'kan'zhong 看重
'ye'dei 也得
'zhong'zai 重在
'tiao'ji 调剂
'ce'zhong 侧重
'xia'tiao 下调
'mu'yang 模样
'luo'bo 萝卜
'bao'mo 薄膜
'di'ge 的哥
'jing'zhui 颈椎
'zhang'le 长了
'dui'zhang 队长
'jian'hang 建行
'huan'gei 还给
'tiao'zheng 调整
'huan'ni 还你
'jing'zhong 敬重
'hua'xian 化纤
'ming'liao 明了
'bo'lin 柏林
'shei'shuo 谁说
'biao'shuai 表率
'pan'yu 番禺
'gong'hang 工行
'chang'huan 偿还
'zhuo'shou 着手
'du'se 堵塞
'dei'jian 得见
'ke'zhang 科长
'xue'ruo 削弱
'tiao'jia 调价
'hu'po 湖泊
'dai'fu 大夫
'ge'hang 各行
'huan'hang 换行
'fan'zhong 繁重
'jue'zhu 角逐
'ke'tiao 可调
'beng'bu 蚌埠
'chang'zhang 厂长
'gui'huan 归还
'qing'zang 青藏
'qing'zhong 轻重
'zhuo'xiang 着想
'wai'zhuan 外传
'tan'huang 弹簧
'tiao'pin 调频
'xue'jian 削减
'tiao'xi 调戏
'dei'you 得有
'wo'hang 我行
'yan'wu 厌恶
'zhuo'zhuang 着装
'shang'hang 商行
'si'zhang 司长
'she'zhang 社长
'zhong'shang 重伤
'nong'hang 农行
'dou'dei 都得
'ban'zhang 班长
'liao'wu 了无
'zuo'mo 琢磨
'shui'zhao 睡着
'huan'kuan 还款
'zong'hang 总行
'hang'zhang 行长
'zhao'qi 朝气
'yi'zhuo 衣着
'yan'mo 淹没
'jiao'dui 校对
'tiao'gao 调高
'fan'xing 反省
'zhuo'shi 着实
'shi'tiao 失调
'hang'jia 行家
'nong'zhong 浓重
'zhen'zhang 镇长
'jiao'zhong 较重
'zang'zu 藏族
'tiao'he 调和
'zhong'quan 重拳
'lou'mian 露面
'liao'shi 了事
'jiao'zheng 校正
'hou'zhong 厚重
